Name of Location,Address of Location,City,State,Zip,Website,Phone Number,Distance (miles),Rating
Dermatology Affiliates - Midtown,"691 14th St NW, Ste E, Atlanta, GA 30312",Atlanta,GA,30312,https://www.yelp.com/biz/dermatology-affiliates-midtown-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048167900,2.0,3.1
Cynthia Abbott MD,"Atlanta, GA 30318",Atlanta,GA,30318,https://www.yelp.com/biz/cynthia-abbott-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048167900,2.02,3.7
"Benedict, Linda M, MD","1800 Howell Mill Rd NW, Georgia Skin Specialists, Atlanta, GA 30318",Atlanta,GA,30318,https://www.yelp.com/biz/benedict-linda-m-md-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043521730,2.09,0.0
Georgia Skin Specialists,"2021 Peachtree Rd, Ste 500, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/georgia-skin-specialists-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043521730,2.12,3.7
Atlanta Dermatology & Aesthetics,"232 19th St, Ste 7230, Atlanta, GA 30363",Atlanta,GA,30363,https://www.yelp.com/biz/atlanta-dermatology-and-aesthetics-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048731795,2.91,3.3
Piedmont Physicians of Buckhead,"35 Collier Rd NW, Ste 775, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/piedmont-physicians-of-buckhead-atlanta-10?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16782646739,3.16,2.8
Dermatology Associates of Georgia,"2061 Peachtree Rd, Ste 400, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/dermatology-associates-of-georgia-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14045540810,3.22,2.9
Midtown Medical Associates,"1110 W Peachtree St NW, Ste 1040, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/midtown-medical-associates-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048885050,3.32,3.5
Laureate Medical Group - Midtown,"1110 West Peachtree St, Ste 1100, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/laureate-medical-group-midtown-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048922131,3.32,2.3
"Rutledge Forney, MD","Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/rutledge-forney-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,3.55,0.0
Tailor Made Looks Institute of Plastic Surgery and MedSpa,"55 Peachtree Park Dr NE, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/tailor-made-looks-institute-of-plastic-surgery-and-medspa-atlanta-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043509355,3.57,4.5
Truffles Aesthetics,"2233 Peachtree Rd NE, Ste K, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/truffles-aesthetics-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704602000,3.64,4.5
"Mack Rachal, MD","550 Peachtree St NE, Atlanta, GA 30308",Atlanta,GA,30308,https://www.yelp.com/biz/mack-rachal-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042156520,3.7,4.0
Blue Med Center,"190 Tenth St NE, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/blue-med-center-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048158880,3.75,4.2
Clark Laser & Cosmetic Dermatology,"3200 Downwood Cir NW, Ste 360, Atlanta, GA 30327",Atlanta,GA,30327,https://www.yelp.com/biz/clark-laser-and-cosmetic-dermatology-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704059956,3.83,3.3
Galloway Trephina DO,"3193 Howell Mill Rd NW, Atlanta, GA 30327",Atlanta,GA,30327,https://www.yelp.com/biz/galloway-trephina-do-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043505777,3.85,5.0
Dermatology Consultants,"3280 Howell Mill Rd NW, Ste 101, Atlanta, GA 30327",Atlanta,GA,30327,https://www.yelp.com/biz/dermatology-consultants-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043517546,3.94,3.3
"Sylvia W Wright, MD","371 E Paces Ferry Rd, Ste 900, Peachtree Dermatology Associates, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/sylvia-w-wright-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043551919,4.01,4.3
"Darren L Casey, MD","1218 W Paces Ferry Rd, Ste 200, Atlanta, GA 30327",Atlanta,GA,30327,https://www.yelp.com/biz/darren-l-casey-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14045257409,4.31,3.0
"Hailey, Brody, Casey & Wray, MD PC","1218 W Paces Ferry Rd NW, Atlanta, GA 30327",Atlanta,GA,30327,https://www.yelp.com/biz/hailey-brody-casey-and-wray-md-pc-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14045257409,4.31,3.6
Buckhead Facial Plastic Surgery,"1218 West Paces Ferry Rd NW, Ste 108, Atlanta, GA 30327",Atlanta,GA,30327,https://www.yelp.com/biz/buckhead-facial-plastic-surgery-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042333937,4.33,3.9
Grady Memorial Hospital,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303",Atlanta,GA,30303,https://www.yelp.com/biz/grady-memorial-hospital-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14046161000,4.45,2.1
"Wilborn Wesley, MD","285 Blvd NE, Atlanta, GA 30312",Atlanta,GA,30312,https://www.yelp.com/biz/wilborn-wesley-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14046591795,4.63,0.0
Goodman Dermatology,"4298 Atlanta Rd SE, Smyrna, GA 30080",Smyrna,GA,30080,https://www.yelp.com/biz/goodman-dermatology-smyrna?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707540787,5.01,1.0
Regen Care,"240 Pharr Rd NE, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/regen-care-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16784303039,5.06,3.9
Theory Aesthetics,"659 Auburn Ave NE, Ste 505, Atlanta, GA 30312",Atlanta,GA,30312,https://www.yelp.com/biz/theory-aesthetics-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14044964091,5.09,5.0
Robertson Dirk Dr,"Atlanta, GA 30327",Atlanta,GA,30327,https://www.yelp.com/biz/robertson-dirk-dr-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,5.09,5.0
"T Douglas Gurley, MD","659 Auburn Ave NE, Ste 156, Atlanta, GA 30312",Atlanta,GA,30312,https://www.yelp.com/biz/t-douglas-gurley-md-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048880228,5.1,2.9
Bella Medspa,"3216 Paces Ferry Pl NW, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/bella-medspa-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16789083491,5.21,3.6
Seraphim Skin Care,"631 Miami Cir NE, Ste 18, Atlanta, GA 30324",Atlanta,GA,30324,https://www.yelp.com/biz/seraphim-skin-care-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042660531,5.32,4.1
Peachtree Dermatology Associates,"371 E Paces Ferry Rd, Ste 900, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/peachtree-dermatology-associates-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043551919,5.33,3.3
"Christine M Law, MD","371 E Paces Ferry Rd, Ste 900, Peachtree Dermatology Associates, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/christine-m-law-md-atlanta-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043551919,5.33,0.0
"Straughn Sherrie-Ann, MD","2961 Hardman Ct NE, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/straughn-sherrie-ann-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048164000,5.42,3.4
Buckhead Dermatology,"2961 Hardman Ct, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/buckhead-dermatology-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048164000,5.42,2.6
Derm Adept,"2451 Cumberland Pkwy, Ste 3917, Atlanta, GA 30339",Atlanta,GA,30339,https://www.yelp.com/biz/derm-adept-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14709910662,5.47,0.0
"Rutledge Forney, MD","3131 Maple Dr, Ste 102, Dermatology Affiliates, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/rutledge-forney-md-atlanta-17?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048167900,5.57,3.4
Dermatology Affiliates,"3131 Maple Dr, Ste 102, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/dermatology-affiliates-buckhead-atlanta-11?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048167900,5.57,2.7
Skin Deep Skin Care Studio,"2989 Piedmont Rd NE, Atlanta, GA 30305",Atlanta,GA,30305,https://www.yelp.com/biz/skin-deep-skin-care-studio-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048390848,5.59,4.7
Divine Dermatology,"1039 Grant St SE, Ste A-11, Atlanta, GA 30315",Atlanta,GA,30315,https://www.yelp.com/biz/divine-dermatology-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16785897546,5.84,2.8
The Ageless Center,"2770 Lenox Rd NE, Atlanta, GA 30324",Atlanta,GA,30324,https://www.yelp.com/biz/the-ageless-center-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042335255,5.9,3.2
"Dana M Wadsworth, MD","Atlanta, GA 30306",Atlanta,GA,30306,https://www.yelp.com/biz/dana-m-wadsworth-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,5.93,3.8
Olansky Dermatology & Aesthetics,"3379 Peachtree Rd, Ste 500, Atlanta, GA 30326",Atlanta,GA,30326,https://www.yelp.com/biz/olansky-dermatology-associates-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043555484,6.14,3.1
"Kelli Baender, MD FAAD","3379 Peachtree Rd NE, Ste 500, Olansky Dermatology Associates, Atlanta, GA 30326",Atlanta,GA,30326,https://www.yelp.com/biz/kelli-baender-md-faad-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043555484,6.16,3.3
"Sonya Bellamy MD, FAAD","3379 Peachtree Rd NE, Ste 500,Peachtree Lenox Bldg, Olansky Dermatology Associates, Atlanta, GA 30326",Atlanta,GA,30326,https://www.yelp.com/biz/sonya-bellamy-md-faad-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043555484,6.16,0.0
"Jennifer Burger, M.D.","3379 Peachtree Rd NE, Ste 500, Atlanta, GA 30326",Atlanta,GA,30326,https://www.yelp.com/biz/jennifer-burger-m-d-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043555484,6.16,5.0
"Jodi Ganz, MD, FAAD","3379 Peachtree Rd NE, Ste 500, Atlanta, GA 30326",Atlanta,GA,30326,https://www.yelp.com/biz/jodi-ganz-md-faad-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043555484,6.17,0.0
"Belinda Graham, MD -  WellStar Medical Group","4480 N Cooper Lake Rd, Ste 101, Smyrna, GA 30082",Smyrna,GA,30082,https://www.yelp.com/biz/belinda-graham-md-wellstar-medical-group-smyrna?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17703332027,6.25,1.0
Atlanta Womens Specialty Group,"2678 Buford Hwy, Atlanta, GA 30324",Atlanta,GA,30324,https://www.yelp.com/biz/atlanta-womens-specialty-group-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16789045999,6.26,2.2
Georgia Dermatology Specialists,"1354 N Decatur Rd NE, # Nd, Atlanta, GA 30306",Atlanta,GA,30306,https://www.yelp.com/biz/georgia-dermatology-specialists-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043555484,6.39,0.0
Atlanta Face & Body,"3200 Cobb Galleria Pkwy, Ste 205, Atlanta, GA 30339",Atlanta,GA,30339,https://www.yelp.com/biz/atlanta-face-and-body-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16788883223,6.44,4.1
Lipton Cathy MD,"1833 Clifton Rd NE, Atlanta, GA 30329",Atlanta,GA,30329,https://www.yelp.com/biz/lipton-cathy-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14047286363,6.55,0.0
AYA Medical Spa,"3500 Peachtree Rd, Suite#h2c, Atlanta, GA 30326",Atlanta,GA,30326,https://www.yelp.com/biz/aya-medical-spa-phipps-plaza-atlanta-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048421772,6.64,4.7
Skin Matters,"4279 Roswell Rd NE, Ste 601A, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/skin-matters-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042287080,6.82,3.0
Emory Clinic Dermatology,"1365 Clifton Rd NE, Atlanta, GA 30322",Atlanta,GA,30322,https://www.yelp.com/biz/emory-clinic-dermatology-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14047783333,7.11,2.0
Cox Gregory J MD,"2719 Felton Dr, Atlanta, GA 30344",Atlanta,GA,30344,https://www.yelp.com/biz/cox-gregory-j-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14047634153,7.5,5.0
South Fulton Dermatology Associates,"2719 Felton Dr, Atlanta, GA 30344",Atlanta,GA,30344,https://www.yelp.com/biz/south-fulton-dermatology-associates-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14047634153,7.5,0.0
Cox Gregory J MD,"2719 Felton Dr, Atlanta, GA 30344",Atlanta,GA,30344,https://www.yelp.com/biz/cox-gregory-j-md-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14047634153,7.5,0.0
Alan Larsen - LUX Med Spa,"4684 Roswell Rd NE, Ste A-1, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/alan-larsen-lux-med-spa-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14044651234,7.51,0.0
